what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139266569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139293432
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1565139301155
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1565139306490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139311076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139414052
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1565139427390
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1565139428482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139488651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139488838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139489509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139525327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139527761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139532191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139533408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139536933
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1565139569756
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1565139569896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1565139572829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139598709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139601471
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1565139602188
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1565139602968
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1565139602968
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1565139602999
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1565139603031
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1565139603046
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1565139603046
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1565139603046
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1565139603046
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1565139603062
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1565139603062
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1565139603062
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1565139603077
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1565139603077
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1565139603093
